DMANIFEST_NO,CNOTE_NO,CNOTE_ORIGIN,CNOTE_DESTINATION,CNOTE_QTY,CNOTE_WEIGHT,CNOTE_COST,CNOTE_SERVICES_CODE,ESB_TIME,ESB_ID,DMANIFEST_DOC_REF
PKU/MTI/00734280,004548227560,PKU10000,PKU21113,1,0.5,,REG23,2026-01-06 16:10:18.051582,47B4883B200C45ACE0635B64110A2382,PKU/MTS/01019370
PKU/MTS/01019370,004548227560,PKU10000,PKU21113,1,0.5,,REG23,2026-01-06 15:13:11.819663,47B4883B1FB745ACE0635B64110A2382,
SUB/MTS/03243147,011080000229126,CGK10000,SUB10109,1,16.0,0.0,JTR23,2026-01-08 03:31:41.132123,47D32CE8A8C13C11E0635B64110A9256,
SUB/MTI/02699096,011080000229126,CGK10000,SUB10109,1,16.0,,JTR23,2026-01-08 09:29:39.267934,47D81F19C61532FAE0635B64110AFC73,SUB/MTS/03243147
DJJ/MTI/00057132,011120000262126,CGK10000,DJJ10015,1,1.0,,REG23,2026-01-10 07:35:07.236521,47FEB8E864E54D56E063EE64110A73A2,DJJ/MTS/00156362
DJJ/MTS/00156362,011120000262126,CGK10000,DJJ10015,1,1.0,0.0,REG23,2026-01-09 11:30:14.830077,47EDF1484B216AE9E0635B64110A4E87,
MGL/MTI/00095670,0117582600058603,CGK10000,MGL10400,1,1.0,,REG23,2026-01-09 18:15:18.931672,47F39FAC919E8ABBE063EE64110AA9D6,MGL/MTS/00394604
MGL/MTS/00394604,0117582600058603,CGK10000,MGL10400,1,1.0,,REG23,2026-01-09 09:42:37.998071,47EB6A43FFE4B4FCE063EE64110A2428,
TKG/MTI/00482625,0117582600060864,CGK10000,TKG21303,1,1.0,,REG23,2026-01-07 07:22:01.298270,47C22342B3A29F92E0635B64110A98E8,TKG/MTS/00515238
TKG/MTS/00515238,0117582600060864,CGK10000,TKG21303,1,1.0,0.0,REG23,2026-01-07 02:25:27.436582,47BDF5341D154A78E063EE64110A717D,
BTJ/MTI/00267228,0117582600061110,CGK10000,BTJ10119,1,1.0,,REG23,2026-01-09 10:48:31.384450,47EC84457754AF61E063EE64110AD1CA,BTJ/MTS/00381585
BTJ/MTS/00381585,0117582600061110,CGK10000,BTJ10119,1,1.0,0.0,REG23,2026-01-08 16:51:28.624930,47DDDDCEB04776A3E0635B64110AA533,
DPS/MTS/00836828,011850000156626,CGK10000,DPS20203,1,1.0,0.0,REG23,2026-01-07 19:32:21.778609,47CA4DF14B9D0E37E063EE64110AA46B,
DPS/MTI/00692557,011850000156626,CGK10000,DPS20203,1,1.0,,REG23,2026-01-07 21:50:48.202853,47CE164EF64E5A3BE063EE64110A914E,DPS/MTS/00836828
SOC/MTS/00267530,013050006449425,CGK10000,SOC20504,1,1.0,,REG23,2026-01-06 19:15:28.513436,47B8208F173FCE73E0635B64110A9ACC,
SOC/MTI/00291145,013050006449425,CGK10000,SOC20504,1,1.0,,REG23,2026-01-07 02:37:24.293468,47BDE23C1910FC99E0635B64110AB8BC,SOC/MTS/00267530
UPG/MTI/00424804,0158172600000514,CGK10000,UPG21825,1,1.0,,REG23,2026-01-07 08:57:28.487861,47C39A911A9EEA5CE063EE64110A50E0,UPG/MTS/01414660
UPG/MTS/01414660,0158172600000514,CGK10000,UPG21825,1,1.0,0.0,REG23,2026-01-06 12:33:12.852510,47B268470F000060E0635B64110A95DD,
BPN/MTI/00418460,016070000208726,CGK10000,BPN20300,1,8.0,,REG23,2026-01-09 16:10:31.373220,47F03802A7029365E0635B64110AEE62,BPN/MTS/00516022
BPN/MTS/00516022,016070000208726,CGK10000,BPN20300,1,8.0,0.0,REG23,2026-01-07 22:30:45.599969,47CEAC6B96800A87E063EE64110AC4EC,
SUB/MTI/02699534,016450000105126,CGK10000,SUB20804,1,6.0,,REG23,2026-01-09 07:02:12.170862,47EA1F1B3743CF72E0635B64110AC313,SUB/MTS/03243347
SUB/MTS/03243347,016450000105126,CGK10000,SUB20804,1,6.0,0.0,REG23,2026-01-08 11:24:47.089813,47D8BB3D4FD7217FE0635B64110A94D7,
PLM/MTI/01128998,017490000402126,CGK10000,PLM20508,1,1.0,,REG23,2026-01-07 08:25:16.559621,47C329888173B3EBE063EE64110A37AE,PLM/MTS/02525420
PLM/MTS/02525420,017490000402126,CGK10000,PLM20508,1,1.0,,REG23,2026-01-06 13:49:42.805835,47B392946AC8E215E063EE64110A8CBF,
SOC/MTI/00291032,030120000250526,SUB10000,SOC20402,1,2.0,,REG23,2026-01-06 13:23:01.608700,47B3049657532F46E0635B64110A4C6E,SOC/MTS/00267424
SOC/MTS/00267424,030120000250526,SUB10000,SOC20402,1,2.0,,REG23,2026-01-06 07:50:28.168692,47AE8FB54EDE91DBE0635B64110AF6AC,
BDJ/MTI/00547195,030880000150626,SUB10000,BDJ20300,1,1.0,0.0,REG23,2026-01-07 01:18:43.505968,47BCF57B2A6AFC6EE063EE64110A12FC,BDJ/MTS/00733149
BDJ/MTS/00733149,030880000150626,SUB10000,BDJ20300,1,1.0,0.0,REG23,2026-01-06 20:39:29.834173,47B9358E3B4AF601E0635B64110AC8F5,
SRG/MTI/02283647,031430000419626,SUB10000,SRG20819,1,1.0,,REG23,2026-01-06 14:48:01.987146,47B459C96B003E1CE063EE64110A7CAE,SRG/MTS/02931810
