DHOUNDEL_NO,DHOUNDEL_SEQ_NO,DHOUNDEL_CNOTE_NO,DHOUNDEL_QTY,DHOUNDEL_REMARKS,DHOUNDEL_WEIGHT,DHOUNDEL_SERVICE,DHOUNDEL_DEST,DHOUNDEL_GOODS,DHOUNDEL_HRS,CREATE_DATE
PKU/HOC/00098837,1,001803892702,1,,,,,,PKU/HRS/02102547,2026-01-20 16:40:59
CGK/HOC/00576961,2,0107582600378896,1,,,,,,CGK/HRS/15257218,2026-01-06 21:52:56
CGK/HOC/00577044,185,021110000315926,1,ANTAR ULANG,,,,,CGK/HRS/15264543,2026-01-07 01:23:41
SUB/HOC/00304243,10,031440000168726,1,AU AREA 06 JAN 2026,,,,,SUB/HRS/05165083,2026-01-05 23:45:22
PNK/HOC/00050208,2,050220005319025,1,,,,,,PNK/HRS/01574339,2026-01-10 21:51:21
BTJ/HOC/00154634,16,11003124219745,1,AU,,,,,BTJ/HRS/00718263,2026-01-09 10:19:42
CLG/HOC/00148558,25,171750000043626,1,,,,,,CLG/HRS/02840770,2026-01-06 01:25:10
TKG/HOC/00188983,1,180090000290626,1,,,,,,TKG/HRS/02146398,2026-01-07 14:50:01
BDO/HOC/00229075,134,440550011132625,1,AU UTARA 06-01-2026,,,,,BDO/HRS/08333454,2026-01-07 00:53:12
BTH/HOC/00069423,12,472190000479925,1,AU,,,,,BTH/HRS/00689956,2026-01-07 19:27:38
DPS/HOC/00203708,36,JNAP-0249235922,1,GUDANG LAMA,,,,,DPS/HRS/02036865,2026-01-08 20:30:03
DPS/HOC/00203708,21,JNAP-0249237764,1,GUDANG LAMA,,,,,DPS/HRS/02036865,2026-01-08 20:29:42
DPS/HOC/00203701,3,JNAP-0249249919,1,AU TO OPR SGR,,,,,DPS/HRS/02036521,2026-01-08 18:59:51
SUB/HOC/00304363,3,JNAP-0249294503,1,,,,,,SUB/HRS/05167032,2026-01-06 19:37:28
DPS/HOC/00203797,28,JNAP-9083400864,1,AU OPR,,,,,DPS/HRS/02037163,2026-01-09 18:23:06
MJK/HOC/00043945,9,JT56915544158,1,AU PAKET JTR,,,,,MJK/HRS/00867175,2026-01-06 22:07:11
CGK/HOC/00577246,76,M440030000543226,1,,,,,,CGK/HRS/15273647,2026-01-08 00:00:41
SUB/HOC/00304672,199,RTTRK26003411274,1,AU AREA 09 JAN 26,,,,,SUB/HRS/05172849,2026-01-09 00:01:02
CGK/HOC/00577019,2,TG3541346277,1,,,,,,CGK/HRS/15256282,2026-01-07 00:13:01
CGK/HOC/00577213,60,TG3547757576,1,ANTAR ULANG DI AREA,,,,,CGK/HRS/15268970,2026-01-07 22:15:10
BOO/HOC/00096948,21,000001432890,1,,,,,,BOO/HRS/07742951,2026-01-06 00:01:37
BKI/HOC/00091576,20,030880000148126,1,,,,,,BKI/HRS/03323871,2026-01-07 21:16:33
BKI/HOC/00091558,101,060490000176526,1,AU,,,,,BKI/HRS/03323438,2026-01-07 01:14:00
CGK/HOC/00576958,14,072610000067726,1,ANTAR ULANG DI AREA,,,,,CGK/HRS/15259519,2026-01-06 21:37:55
CGK/HOC/00577044,149,083980000063026,1,ANTAR ULANG,,,,,CGK/HRS/15264543,2026-01-07 01:22:56
BKS/HOC/00087743,5,11003110371905,1,ANTAR ULANG,,,,,BKS/HRS/00968211,2026-01-08 12:29:34
DJB/HOC/00078112,13,11003124355568,1,TO TRANSIT KASIH ANGGITA,,,,,DJB/HRS/01343785,2026-01-07 11:34:34
BTJ/HOC/00154510,3,240160000823926,1,,,,,,BTJ/HRS/00716990,2026-01-06 23:21:05
UPG/HOC/00092771,86,340010005133325,1,ANTAR ULANG,,,,,UPG/HRS/02133968,2026-01-07 01:06:27
SUB/HOC/00304561,4,520950006096525,1,,,,,,SUB/HRS/05170661,2026-01-08 07:25:19
CLG/HOC/00148734,8,521710000009326,1,,,,,,CLG/HRS/02845984,2026-01-10 08:21:30
CLG/HOC/00149048,4,521710000009326,1,,,,,,CLG/HRS/02852347,2026-01-16 08:25:04
CLG/HOC/00149206,17,521710000009326,1,,,,,,CLG/HRS/02855236,2026-01-19 09:03:56
DPK/HOC/00082600,52,521720000166026,1,,,,,,DPK/HRS/02477484,2026-01-08 01:28:38
DPK/HOC/00082571,80,521720000166026,1,,,,,,DPK/HRS/02474418,2026-01-07 00:54:03
DPS/HOC/00203848,1,601370000034326,1,AU TO OPR,,,,,DPS/HRS/02036530,2026-01-10 10:26:06
SUB/HOC/00304860,5,631070000008526,1,RE DELIVERY,,,,,SUB/HRS/05175139,2026-01-10 11:03:24
SUB/HOC/00304226,122,8000130777027,1,AU AREA 06 JAN 2026,,,,,SUB/HRS/05164998,2026-01-05 21:04:54
DPS/HOC/00203807,34,CM24882756133,1,AU TO HUB TUBAN,,,,,DPS/HRS/02037750,2026-01-09 21:23:11
TGR/HOC/00177289,297,CM32192156319,1,,,,,,TGR/HRS/10802270,2026-01-07 02:17:55
CGK/HOC/00579454,16,CM39916343091,2,AU EX UNDEL,,,,,CGK/HRS/15311935,2026-01-19 17:06:23
CGK/HOC/00577795,1,CM39916343091,2,AU EX UNDEL,,,,,CGK/HRS/15287087,2026-01-10 14:40:24
CGK/HOC/00578160,7,CM39916343091,2,AU EX UNDEL,,,,,CGK/HRS/15308215,2026-01-13 02:36:10
BDO/HOC/00229075,33,CM44410734103,2,AU UTARA 06-01-2026,,,,,BDO/HRS/08332539,2026-01-07 00:47:56
PKY/HOC/00017778,175,CM92832540817,1,,,,,,PKY/HRS/00615469,2026-01-10 00:33:28
SUB/HOC/00304463,3,JNAP-0249288733,1,,,,,,SUB/HRS/05166609,2026-01-07 12:32:28
MXG/HOC/00071542,1,JNAP-0249295341,1,ANTAR ULANG,,,,,MXG/HRS/01400110,2026-01-09 10:23:13
SUB/HOC/00304383,56,JNAP-9083400764,1,,,,,,SUB/HRS/05167488,2026-01-06 21:43:19
SUB/HOC/00304383,59,JNAT-0007920328,1,,,,,,SUB/HRS/05167397,2026-01-06 21:43:25
SUB/HOC/00304678,102,JT09422419835,1,,,,,,SUB/HRS/05172970,2026-01-09 02:11:28
TGR/HOC/00177342,4,RTTGR26031398171,1,,,,,,TGR/HRS/10804641,2026-01-07 20:25:50
TGR/HOC/00177382,80,TG3545667873,1,,,,,,TGR/HRS/10809513,2026-01-08 01:13:04
CGK/HOC/00576799,10,TG3549507872,1,,,,,,CGK/HRS/15247564,2026-01-06 01:30:07
JBR/HOC/00062341,24,004548956480,1,AU EX UNDEL,,,,,JBR/HRS/00960056,2026-01-07 21:21:11
PWT/HOC/00101309,3,020020000563926,1,,,,,,PWT/HRS/01439846,2026-01-11 01:22:30
CGK/HOC/00577026,23,030510000171926,1,ANTAR ULANG SETIABUDI,,,,,CGK/HRS/15260423,2026-01-07 00:29:34
CGK/HOC/00577432,23,030590000113326,1,,,,,,CGK/HRS/15281445,2026-01-08 22:18:58
