DMBAG_NO,DMBAG_BAG_NO,DMBAG_ORIGIN,DMBAG_DESTINATION,DMBAG_WEIGHT,DMBAG_SPS,DMBAG_INBOUND,DMBAG_TYPE,DMBAG_STATUS,ESB_TIME,ESB_ID
AA74200397,AD106053937,MXG10000,SUB10000,25.0,,Y,1.0,1,2026-01-05 23:17:25.933272,47A6649621D94748E063EE64110A0000
AA74200397,AD106053937,MXG10000,SUB10000,25.0,,Y,1.0,1,2026-01-05 23:17:25.933272,47A6649621D94748E063EE64110A0000
AD106704544,AD106704525,PLM21600,CGK10000,1.0,,Y,1.0,1,2026-01-05 15:02:44.072321,479C9F4436DDBE11E0635B64110A19C2
AD106704544,AD106704525,PLM21600,CGK10000,1.0,,Y,1.0,1,2026-01-05 15:02:44.072321,479C9F4436DDBE11E0635B64110A19C2
AD108410331,AA74254198,UPG21600,SRG10000,1.0,,Y,1.0,1,2026-01-05 20:52:50.559522,47A46546338A8267E063EE64110A9988
AD108410331,AA74254198,UPG21600,SRG10000,1.0,,Y,1.0,1,2026-01-05 20:52:50.559522,47A46546338A8267E063EE64110A9988
AD108410331,AA74254198,UPG21600,SRG10000,1.0,,Y,1.0,1,2026-01-05 20:52:50.559522,47A46546338A8267E063EE64110A9988
YT2939087,AY20170797,BKI10000,MES10000,5.0,,Y,1.0,1,2026-01-05 23:32:06.852669,47A78C29810B9D8EE0635B64110A1758
YT2939087,AY20170797,BKI10000,MES10000,5.0,,Y,1.0,1,2026-01-05 23:32:06.852669,47A78C29810B9D8EE0635B64110A1758
YT2939087,AY20170797,BKI10000,MES10000,5.0,,Y,1.0,1,2026-01-05 23:32:06.852669,47A78C29810B9D8EE0635B64110A1758
AD107666072,AD107666075,SUB10100,MES10000,1.0,,Y,1.0,1,2026-01-05 23:42:28.907472,47A77B9DAEE2FA5CE0635B64110A1735
AD107666072,AD107666075,SUB10100,MES10000,1.0,,Y,1.0,1,2026-01-05 23:42:28.907472,47A77B9DAEE2FA5CE0635B64110A1735
AD107666072,AD107666075,SUB10100,MES10000,1.0,,Y,1.0,1,2026-01-05 23:42:28.907472,47A77B9DAEE2FA5CE0635B64110A1735
AA74668644,AA74668640,PKY10000,SMD10000,1.0,,Y,1.0,1,2026-01-05 21:24:56.303790,47A5B1607AD08AE5E063EE64110AE8A8
AA74668644,AA74668640,PKY10000,SMD10000,1.0,,Y,1.0,1,2026-01-05 21:24:56.303790,47A5B1607AD08AE5E063EE64110AE8A8
AA74668644,AA74668640,PKY10000,SMD10000,1.0,,Y,1.0,1,2026-01-05 21:24:56.303790,47A5B1607AD08AE5E063EE64110AE8A8
YS41184175,000001428610,CGK10000,TGR10113,1.0,,Y,1.0,1,2026-01-05 09:51:31.627993,479BB0207DAD5125E063EE64110A21A9
YS41184175,000001428610,CGK10000,TGR10113,1.0,,Y,1.0,1,2026-01-05 09:51:31.627993,479BB0207DAD5125E063EE64110A21A9
YS41184175,000001428610,CGK10000,TGR10113,1.0,,Y,1.0,1,2026-01-05 09:51:31.627993,479BB0207DAD5125E063EE64110A21A9
AA74157995,AA74157952,BPN10000,SRG10000,1.0,,Y,1.0,1,2026-01-05 10:14:04.233039,479C28A6607A1310E0635B64110A809F
AA74157995,AA74157952,BPN10000,SRG10000,1.0,,Y,1.0,1,2026-01-05 10:14:04.233039,479C28A6607A1310E0635B64110A809F
AA74157995,AA74157952,BPN10000,SRG10000,1.0,,Y,1.0,1,2026-01-05 10:14:04.233039,479C28A6607A1310E0635B64110A809F
AD107856009,AA73343685,PKU20412,TGR10113,2.0,,Y,1.0,1,2026-01-05 19:21:58.913276,47A40D83B261B5ABE0635B64110A91C7
AD107856009,AA73343685,PKU20412,TGR10113,2.0,,Y,1.0,1,2026-01-05 19:21:58.913276,47A40D83B261B5ABE0635B64110A91C7
AD107856009,AA73343685,PKU20412,TGR10113,2.0,,Y,1.0,1,2026-01-05 19:21:58.913276,47A40D83B261B5ABE0635B64110A91C7
AA72916508,AD106384148,AMI10000,AMI20400,1.0,,Y,1.0,1,2026-01-05 11:43:29.297985,479CA1A34796FE1BE0635B64110AD434
