DSJ_NO,DSJ_BAG_NO,DSJ_HVO_NO,DSJ_UID,DSJ_CDATE
CGK/DO/03389967,CGK843/24985054,CGK/HVO/11205575,TANRIFD,2026-01-05 17:11:01
CGK/DO/03389967,CGK843/24985054,CGK/HVO/11205575,TANRIFD,2026-01-05 17:11:01
CGK/DO/03389967,CGK843/24985054,CGK/HVO/11205575,TANRIFD,2026-01-05 17:11:01
CGK/DO/03389967,CGK843/24985054,CGK/HVO/11205575,TANRIFD,2026-01-05 17:11:01
CGK/DO/03389967,CGK843/24985054,CGK/HVO/11205575,TANRIFD,2026-01-05 17:11:01
CGK/DO/03389967,CGK843/24985054,CGK/HVO/11205575,TANRIFD,2026-01-05 17:11:01
SUB/DO/00409727,SUB564/24986055,SUB/HVO/01336141,AFANSUB,2026-01-05 20:50:48
SUB/DO/00409727,SUB564/24986141,SUB/HVO/01336141,AFANSUB,2026-01-05 20:50:48
SUB/DO/00409727,SUB564/24986505,SUB/HVO/01336141,AFANSUB,2026-01-05 20:50:48
SUB/DO/00409727,SUB564/24986556,SUB/HVO/01336141,AFANSUB,2026-01-05 20:50:48
SUB/DO/00409727,SUB564/24986670,SUB/HVO/01336141,AFANSUB,2026-01-05 20:50:48
BKI/DO/00253464,BKI397/24983402,BKI/HVO/00391204,INDRASI,2026-01-05 13:25:02
SUB/DO/00409674,SUB564/24984789,SUB/HVO/01336102,ERGAFAH,2026-01-05 15:49:59
PDG/DO/00089377,PDG021/24984877,PDG/HVO/00356301,HARIYO,2026-01-05 16:53:44
CGK/DO/03390184,CGK1321/24986708,CGK/HVO/11205966,ROFWAN,2026-01-05 20:39:05
CGK/DO/03389756,CGK1345/24983886,CGK/HVO/11205315,SADDAM,2026-01-05 14:06:01
CKR/DO/00167007,CKR176/24984859,CKR/HVO/00223017,YUSUFCKR,2026-01-05 17:41:21
CGK/DO/03390000,CGK637/24985368,CGK/HVO/11205646,TANRIFD,2026-01-05 17:47:08
CGK/DO/03390000,CGK637/24985368,CGK/HVO/11205646,TANRIFD,2026-01-05 17:47:08
CGK/DO/03390000,CGK637/24985572,CGK/HVO/11205710,TANRIFD,2026-01-05 17:47:08
CGK/DO/03390000,CGK637/24985572,CGK/HVO/11205710,TANRIFD,2026-01-05 17:47:08
CGK/DO/03390000,CGK637/24985572,CGK/HVO/11205710,TANRIFD,2026-01-05 17:47:08
CGK/DO/03390000,CGK637/24985572,CGK/HVO/11205710,TANRIFD,2026-01-05 17:47:08
CGK/DO/03390000,CGK637/24985572,CGK/HVO/11205710,TANRIFD,2026-01-05 17:47:08
CGK/DO/03390000,CGK637/24985572,CGK/HVO/11205710,TANRIFD,2026-01-05 17:47:08
CGK/DO/03390000,CGK637/24985572,CGK/HVO/11205710,TANRIFD,2026-01-05 17:47:08
CGK/DO/03390000,CGK637/24985572,CGK/HVO/11205710,TANRIFD,2026-01-05 17:47:08
CGK/DO/03390000,CGK637/24985572,CGK/HVO/11205710,TANRIFD,2026-01-05 17:47:08
CGK/DO/03390000,CGK637/24985572,CGK/HVO/11205710,TANRIFD,2026-01-05 17:47:08
CGK/DO/03390000,CGK637/24985572,CGK/HVO/11205710,TANRIFD,2026-01-05 17:47:08
CGK/DO/03390000,CGK637/24985565,CGK/HVO/11205711,TANRIFD,2026-01-05 17:47:08
SOC/DO/00116437,SOC11/24980489,SOC/HVO/01427789,SAYIDATI,2026-01-05 08:08:52
CGK/DO/03389462,CGK637/24981204,CGK/HVO/11204816,TOMYNTD,2026-01-05 09:25:22
CLG/DO/00814325,CLG486/24983756,CLG/HVO/01105762,NURISLAM,2026-01-05 13:53:46
BDJ/DO/00087339,BDJ004/24993668,BDJ/HVO/00295579,GUSKURN,2026-01-06 11:44:47
TGR/DO/00887569,TGR474/24993841,TGR/HVO/04633861,VIEMAPU,2026-01-06 11:56:28
CGK/DO/03389466,CGK010/24981225,CGK/HVO/11204822,TOMYNTD,2026-01-05 09:27:54
CGK/DO/03390241,CGK1181/24985860,CGK/HVO/11205777,SALIMCGK,2026-01-05 21:33:14
CGK/DO/03390261,CGK864/24985464,CGK/HVO/11205675,RMATCGK,2026-01-05 21:47:10
SUB/DO/00409746,SUB015/24987388,SUB/HVO/01336206,RAFLYSUB,2026-01-05 22:14:48
CGK/DO/03390367,2273260105224608,CGK/HVO/11206403,ARSYADA,2026-01-05 23:22:53
CGK/DO/03390449,2079260105232409,CGK/HVO/11206679,M NURSID,2026-01-06 01:07:10
TGR/DO/00887268,TGR492/24987911,TGR/HVO/04633312,YUMIL,2026-01-06 01:30:27
CGK/DO/03390687,2245260106010600,CGK/HVO/11207412,M NURSID,2026-01-06 04:25:04
TGR/DO/00887335,TGR129/24989045,TGR/HVO/04633467,FIRNTGR,2026-01-06 04:54:55
BOO/DO/00466264,BOO421/24989773,BOO/HVO/01107439,BANYUBOO,2026-01-06 05:08:29
BOO/DO/00466264,BOO421/24989773,BOO/HVO/01107439,BANYUBOO,2026-01-06 05:08:29
TGR/DO/00887346,TGR593/24990178,TGR/HVO/04633583,SUPPAHUR,2026-01-06 05:44:04
CGK/DO/03391035,CGK1252/24990060,CGK/HVO/11208947,RYADUL,2026-01-06 06:31:11
BKI/DO/00253596,BKI503/24989625,BKI/HVO/00391286,INDRAST,2026-01-06 06:34:17
CGK/DO/03390887,2193260106060509,CGK/HVO/11210051,M NURSID,2026-01-06 06:41:50
JBR/DO/00077268,JBR014/24991132,JBR/HVO/00186630,ISWAHJBR,2026-01-06 06:42:12
BKI/DO/00253607,BKI475/24990856,BKI/HVO/00391289,SARDI,2026-01-06 08:12:25
CLG/DO/00814643,CLG002/24990908,CLG/HVO/01106017,SATBICLG,2026-01-06 08:59:25
CLG/DO/00814643,CLG002/24990908,CLG/HVO/01106017,SATBICLG,2026-01-06 08:59:25
BDO/DO/00955871,BDO007/24991155,BDO/HVO/01420047,NAEDIBDO,2026-01-06 09:24:40
JOG/DO/00098230,JOG191/24991560,JOG/HVO/00322220,GROHOJOG,2026-01-06 09:27:49
BKI/DO/00253625,BKI471/24992274,BKI/HVO/00391324,SARDI,2026-01-06 09:39:53
CGK/DO/03391126,CGK637/24992579,CGK/HVO/11211378,MRIAL,2026-01-06 09:57:07
CGK/DO/03391126,2140260106083209,CGK/HVO/11211069,MRIAL,2026-01-06 09:57:07
BKI/DO/00253640,BKI503/24992276,BKI/HVO/00391337,DLIABKI,2026-01-06 10:13:06
BKI/DO/00253649,BKI481/24993407,BKI/HVO/00391363,SUPAG,2026-01-06 11:02:34
CGK/DO/03390820,2239260106040505,CGK/HVO/11209110,M NURSID,2026-01-06 04:38:58
BOO/DO/00466266,BOO423/24988766,BOO/HVO/01107358,ATO,2026-01-06 05:06:19
CGK/DO/03390874,2136260106043105,CGK/HVO/11209296,ARSYADA,2026-01-06 05:32:32
CGK/DO/03390824,2131260106044705,CGK/HVO/11209402,RINALDY,2026-01-06 05:46:18
TGR/DO/00887278,TGR492/24986991,TGR/HVO/04633179,DYKURNIA,2026-01-06 02:24:32
CGK/DO/03391254,2224260106085515,CGK/HVO/11211187,MRIAL,2026-01-06 11:18:29
BOO/DO/00466471,BOO423/24993702,BOO/HVO/01107793,MUHALDI,2026-01-06 11:41:01
BDO/DO/00955743,BDO534/24989208,BDO/HVO/01419923,HADINBDO,2026-01-06 04:02:42
CGK/DO/03391090,CGK843/24991608,CGK/HVO/11210773,MRIAL,2026-01-06 08:26:01
CGK/DO/03391072,CGK1166/24991089,CGK/HVO/11209245,JUMADI,2026-01-06 06:56:22
CGK/DO/03391072,CGK1166/24991186,CGK/HVO/11209245,JUMADI,2026-01-06 06:56:36
BOO/DO/00466341,BOO417/24991376,BOO/HVO/01107545,ERWINSY,2026-01-06 08:08:42
BKI/DO/00253607,BKI475/24989771,BKI/HVO/00391289,SARDI,2026-01-06 08:12:19
BOO/DO/00466383,BOO420/24991799,BOO/HVO/01107589,MUHLIBOO,2026-01-06 09:31:51
BOO/DO/00466339,BOO418/24991705,BOO/HVO/01107572,RAFI_BOO,2026-01-06 09:51:16
BOO/DO/00466256,BOO324/24989483,BOO/HVO/01107418,YUDIBOO,2026-01-06 04:55:23
BKI/DO/00253596,BKI503/24990902,BKI/HVO/00391286,INDRAST,2026-01-06 06:34:22
SRG/DO/01577507,SRG494/24991141,SRG/HVO/02822352,AGTIYSRG,2026-01-06 06:49:30
CGK/DO/03391044,2156260106061007,CGK/HVO/11210088,ARSYADA,2026-01-06 07:00:22
CGK/DO/03391044,2102260106062208,CGK/HVO/11210158,ARSYADA,2026-01-06 07:00:22
BDO/DO/00955890,BDO591/24991222,BDO/HVO/01420048,RIZALBDO,2026-01-06 10:08:51
MES/DO/00473946,MES209/24981551,MES/HVO/01061510,RITA AP,2026-01-05 12:38:15
CBN/DO/00654425,CBN361/24990987,CBN/HVO/00654826,YATYAT,2026-01-06 06:40:49
BDO/DO/00955826,BDO532/24991166,BDO/HVO/01420045,RIKI R,2026-01-06 07:48:31
BKI/DO/00253607,BKI475/24991248,BKI/HVO/00391289,SARDI,2026-01-06 08:12:31
SRG/DO/01577532,SRG1004/24991653,SRG/HVO/02822378,BUDHISRG,2026-01-06 08:03:36
CGK/DO/03391090,2113260106073520,CGK/HVO/11210702,MRIAL,2026-01-06 08:26:01
