DSTATUS_NO,DSTATUS_CNOTE_NO,DSTATUS_STATUS,DSTATUS_REMARKS,CREATE_DATE,DSTATUS_STATUS_DATE,DSTATUS_MANIFEST_NO_OLD,DSTATUS_BAG_NO_OLD,DSTATUS_MANIFEST_NO_NEW,DSTATUS_MANIFEST_DEST,DSTATUS_MANIFEST_THRU,DSTATUS_BAG_NO_NEW,DSTATUS_ZONE_CODE
JOG/IRG/00034890,010470000257626,PS8,EX UNMANIFEST,2026-01-08 08:23:09,2026-01-08 08:23:00,,,,,,,JOG083
BDJ/IRG/00009962,301210000132526,PS8,BJB,2026-01-08 11:45:04,2026-01-08 11:45:00,,,,,,,BDJ124
BKI/IRG/00085976,TG3542297273,PS2,CKR,2026-01-05 14:49:36,2026-01-05 14:48:50,,,,,,,BKI397
BKI/IRG/00086046,0117582600060211,PS2,MR AREA CKR,2026-01-06 15:54:46,2026-01-06 15:54:23,,,,,,,BKI397
CGK/IRG/00260898,012500001153926,CR1,GRANAT,2026-01-08 15:12:19,2026-01-08 15:04:05,,,,,,,CGKMH00
CGX/XR/00012218,012500001153926,X10,GRANAT,2026-01-07 14:06:22,2026-01-07 14:06:22,CGK/OM/104507655,AD108655361,,CGK10000TNJ10000,CGX10000,,CGX02
BOO/IRG/123183,0805772600000104,CR2,CANCEL BY SHIPPER/MP BY API,2026-01-05 09:52:51,2026-01-05 09:52:51,,,,,,,BOO001
PKU/IRG/00020300,541270000025326,HL1,KURANG 1 KOLI TENAYAN,2026-01-09 18:35:16,2026-01-09 18:34:44,,,,,,,PKU027
PKU/IRG/00020307,541270000025326,PS5,REPACK DAN DELIVERY,2026-01-10 00:12:27,2026-01-10 00:12:22,,,,,,,PKU027
MKW/IRG/00003218,CM10324012552,HL3,cab. ransiki,2026-01-08 16:04:54,2026-01-08 16:04:19,,,,,,,MKW003
CGX/IRG/00004205,CM59690603345,CR1,,2026-01-06 16:09:56,2026-01-06 16:02:47,,,,,,,CGX02
CGX/XR/00012214,CM59690603345,X1,PARFUME,2026-01-06 13:38:42,2026-01-06 13:38:42,TGR/OM/56715052,AA74362697,,TGR10000PKU10000,CGX10000,,CGX02
BOO/IRG/123181,CM61343844602,CR2,CANCEL BY SHIPPER/MP BY API,2026-01-05 09:52:51,2026-01-05 09:52:51,,,,,,,BOO001
CGX/XR/00012219,CSS3501048286547,X9,SENAPAN TNP DOCUMENT,2026-01-08 13:35:38,2026-01-08 13:35:38,KDR/OM/003250378,AA73897297,,KDR10000PNK10000,CGX10000,,CGX02
BOO/IRG/123180,JNAC-0072673795,CR2,CANCEL BY SHIPPER/MP BY API,2026-01-05 09:52:51,2026-01-05 09:52:51,,,,,,,BOO001
CKR/IRG/00063763,JNAC-0072679594,PS5,BOCOR,2026-01-06 12:06:16,2026-01-06 12:06:11,,,,,,,CKR003
BOO/IRG/123184,JNEB-1026301448,CR2,CANCEL BY SHIPPER/MP BY API,2026-01-05 09:52:51,2026-01-05 09:52:51,,,,,,,BOO001
BOO/IRG/123185,JNEB-1026308211,CR2,CANCEL BY SHIPPER/MP BY API,2026-01-05 09:52:51,2026-01-05 09:52:51,,,,,,,BOO001
BOO/IRG/123179,JT83415350315,CR2,CANCEL BY SHIPPER/MP BY API,2026-01-05 09:52:51,2026-01-05 09:52:51,,,,,,,BOO001
CGK/IRG/00260472,TG3541117173,PS2,TGR,2026-01-05 23:05:56,2026-01-05 23:03:59,,,,,,,CGK843
BOO/IRG/123182,TG3544326473,CR2,CANCEL BY SHIPPER/MP BY API,2026-01-05 09:52:51,2026-01-05 09:52:51,,,,,,,BOO001
BOO/IRG/00123358,030240029395525,PS5,DAMAGE,2026-01-08 12:39:46,2026-01-08 12:39:43,,,,,,,BOO001
PLW/IRG/00046792,CM65343560729,HL3,,2026-01-08 12:32:03,2026-01-08 12:31:03,,,,,,,PLW50
CKR/IRG/00063799,CM79453574810,PS5,PATAH DI DALAM MOBIL,2026-01-06 20:41:52,2026-01-06 20:41:03,,,,,,,CKR003
BOO/IRG/123189,JNAC-0072674358,CR2,CANCEL BY SHIPPER/MP BY API,2026-01-05 09:52:51,2026-01-05 09:52:51,,,,,,,BOO001
BOO/IRG/123187,JNEB-1026306226,CR2,CANCEL BY SHIPPER/MP BY API,2026-01-05 09:52:51,2026-01-05 09:52:51,,,,,,,BOO001
BOO/IRG/123186,JNEB-1026315700,CR2,CANCEL BY SHIPPER/MP BY API,2026-01-05 09:52:51,2026-01-05 09:52:51,,,,,,,BOO001
BOO/IRG/123188,JT25223420806,CR2,CANCEL BY SHIPPER/MP BY API,2026-01-05 09:52:51,2026-01-05 09:52:51,,,,,,,BOO001
PLW/IRG/00046746,005025819779,HL3,,2026-01-07 12:19:10,2026-01-07 12:19:03,,,,,,,PLW50
BKI/IRG/00086046,0117582600059668,PS2,MR AREA CKR,2026-01-06 15:55:34,2026-01-06 15:55:22,,,,,,,BKI397
PLW/IRG/00046964,0117582600060617,HL7,LBA DELIVERY TERJADWAL,2026-01-12 22:12:55,2026-01-12 22:10:37,,,,,,,PLW001
PLM/IRG/00044986,023480000373623,PS5,pecah,2026-01-08 11:15:12,2026-01-08 11:15:06,,,,,,,PLM283
SUB/IRG/00133518,2600001696302M01,HL1,MULTIKOLI 2 KOLI KURANG 1 KOLI,2026-01-07 19:55:14,2026-01-07 19:55:02,,,,,,,SUB564
SUB/IRG/00133408,2600001696302M02,HL1,KRNG 2-1,2026-01-07 04:43:21,2026-01-07 04:41:57,,,,,,,SUB564
CGX/XR/00012213,520070012992325,X71,TANAMAN TNP DOC&SURECAHRGE,2026-01-06 13:34:33,2026-01-06 13:34:33,SMI/OM/03131696,AA74438986,,SMI10000MES10000,CGX10000,,CGX02
CBN/IRG/00045819,JY45061656821,PS2,MR TGR,2026-01-07 09:40:06,2026-01-07 09:39:28,,,,,,,CBN006
PLW/IRG/00046761,004547963643,HL3,,2026-01-07 13:15:05,2026-01-07 13:14:12,,,,,,,PLW50
PLW/IRG/00046748,004547979077,HL3,,2026-01-07 12:21:53,2026-01-07 12:20:58,,,,,,,PLW50
PLW/IRG/00046760,004548540513,HL3,,2026-01-07 13:13:28,2026-01-07 13:09:57,,,,,,,PLW50
