MHOUNDEL_BRANCH_ID,MHOUNDEL_NO,MHOUNDEL_REMARKS,MHOUNDEL_DATE,MHOUNDEL_USER_ID,MHOUNDEL_ZONE,MHOUNDEL_APPROVE,MHOUNDEL_USER1,MHOUNDEL_USER2,MHOUNDEL_SIGNDATE,MHOUNDEL_FLOW
PKU000,PKU/HOC/00098837,AU Ex UNDEL,2026-01-20 16:40:52,DENIKAP,PKU146,Y,DENIKAP,TURAPKU,2026-01-20 00:00:00,C
CGK000,CGK/HOC/00576961,AU Ex UNDEL,2026-01-06 21:52:36,ERMANCGK,CGK843,Y,ERMANCGK,MS,2026-01-06 00:00:00,C
CGK000,CGK/HOC/00577044,,2026-01-07 01:19:41,WILLYANA,CGK864,Y,WILLYANA,WARDOYO,2026-01-07 00:00:00,C
SUB000,SUB/HOC/00304243,AU Ex UNDEL,2026-01-05 23:44:53,MAHBUB,SUB566,Y,MAHBUB,INDRAB,2026-01-05 00:00:00,C
PNK000,PNK/HOC/00050208,AU Ex UNDEL,2026-01-10 21:51:15,HIDAYT,PNK277,Y,HIDAYT,GUNPNK,2026-01-10 00:00:00,C
BTJ000,BTJ/HOC/00154634,AU Ex UNDEL,2026-01-09 10:18:53,DIMDABTJ,BTJ017,Y,DIMDABTJ,MAULBTJ,2026-01-09 00:00:00,C
CLG000,CLG/HOC/00148558,AU Ex UNDEL,2026-01-06 01:24:29,BELLCLG,CLG001,Y,BELLCLG,ERISCLG,2026-01-06 00:00:00,C
TKG000,TKG/HOC/00188983,AU Ex UNDEL,2026-01-07 14:49:17,EVAKHON,TKG021,Y,EVAKHON,KHOLIRIY,2026-01-07 00:00:00,C
BDO000,BDO/HOC/00229075,AU Ex UNDEL,2026-01-07 00:46:13,DEAHALI,BDO026,Y,DEAHALI,ISPHAN,2026-01-07 00:00:00,C
BTH000,BTH/HOC/00069423,AU Ex UNDEL,2026-01-07 19:27:14,ARGOBTH,BTH142,Y,ARGOBTH,DRISYAH,2026-01-07 00:00:00,C
DPS000,DPS/HOC/00203708,AU Ex UNDEL,2026-01-08 20:28:26,ALEHDPS,DPS190,Y,ALEHDPS,IGUSAGME,2026-01-08 00:00:00,C
DPS000,DPS/HOC/00203708,AU Ex UNDEL,2026-01-08 20:28:26,ALEHDPS,DPS190,Y,ALEHDPS,IGUSAGME,2026-01-08 00:00:00,C
DPS000,DPS/HOC/00203701,AU Ex UNDEL,2026-01-08 18:59:40,SARIDPS,DPS168,Y,SARIDPS,KADEKEGA,2026-01-08 00:00:00,C
SUB000,SUB/HOC/00304363,AU Ex UNDEL,2026-01-06 19:37:19,DENRAW,SUB282,Y,DENRAW,S WATI,2026-01-06 00:00:00,C
DPS000,DPS/HOC/00203797,AU Ex UNDEL,2026-01-09 18:22:20,SEKARINI,DPS030,Y,SEKARINI,SUDARMA,2026-01-09 00:00:00,C
MJK000,MJK/HOC/00043945,AU Ex UNDEL,2026-01-06 22:06:45,DINBAG,MJK001,Y,DINBAG,DESWIN,2026-01-06 00:00:00,C
CGK000,CGK/HOC/00577246,AU Ex UNDEL,2026-01-07 23:57:50,FAJARS,CGK843,Y,FAJARS,SATRIAY,2026-01-08 00:00:00,C
SUB000,SUB/HOC/00304672,AU Ex UNDEL,2026-01-08 23:56:18,APURWA,SUB566,Y,APURWA,MAHBUB,2026-01-09 00:00:00,C
CGK000,CGK/HOC/00577019,AU Ex UNDEL,2026-01-07 00:12:57,SATRIAY,CGK843,Y,SATRIAY,IBNUCHAI,2026-01-07 00:00:00,C
CGK000,CGK/HOC/00577213,AU Ex UNDEL,2026-01-07 22:13:59,PULRI,CGK843,Y,PULRI,MS,2026-01-07 00:00:00,C
BOO000,BOO/HOC/00096948,AU Ex UNDEL,2026-01-06 00:01:10,MKHOEE,BOO001,Y,MKHOEE,HENDRANO,2026-01-06 00:00:00,C
BKI000,BKI/HOC/00091576,AU Ex UNDEL,2026-01-07 21:15:40,DODPRI,BKI422,Y,DODPRI,ANFAJ,2026-01-07 00:00:00,C
BKI000,BKI/HOC/00091558,AU Ex UNDEL,2026-01-07 01:11:55,EPTIABKI,BKI001,Y,EPTIABKI,SUSILO_F,2026-01-07 00:00:00,C
CGK000,CGK/HOC/00576958,AU Ex UNDEL,2026-01-06 21:37:37,PULRI,CGK843,Y,PULRI,MS,2026-01-06 00:00:00,C
